"","Date","City","Cause.of.Death","Longitude","Latitude"
"1","05/21/2012"," San Pedro Sula  Honduras","Vehicle Accident - Auto",-88.5,14.9
"2","06/14/2012","Ahuas  Gracias a Dios  Honduras","Suicide",-86.5,15
"4","12/18/2005","Aldea Chachaguala  Omoa  Cortes  Honduras","Homicide",-88.0333333,15.7666667
"6","09/03/2003","Atlantida  Honduras","Suicide",-86.5,15
"7","02/15/2003","Barrio Alvarado  La Ceiba  Atlantida  Honduras","Homicide",-86.5,15
"8","11/14/2008","Bay Islands Honduras","Homicide",-86.5,15
"9","07/26/2013","Buenos Aires  San Antonio de Cortes  Cortes  Honduras","Homicide",-58.5389,-34.5167
"10","12/05/2011","Camayagua  Honduras","Homicide",-86.5,15
"14","03/24/2011","Choloma  Cortes  Honduras","Homicide",-87.95,15.6166667
"15","03/29/2012","Choloma  Cortes  Honduras","Homicide",-87.95,15.6166667
"16","03/31/2010","Choloma Corte  Honduras","Homicide",-86.5,15
"17","01/15/2009","Col. Bogran  San Pedro Sula  Cortes  Hondura","Other Accident",-103.6984,19.1976
"18","07/07/2014","Col. Rio Piedras San Pedro Sula Cortes","Veh. Accid-Motorcy.",-103.6984,19.1976
"19","03/23/2007","Colonia Luisiana  San Pedro  Sula  Cortes  Honduras","Homicide",-88.5666667,15.25
"21","01/26/2009","Comayagua  Comayagua  Honduras","Veh. Accid-Auto",-87.6333333,14.45
"22","06/16/2012","Comayagua  Comayagua  Honduras","Other Accident",-87.6333333,14.45
"23","08/24/2009","Comayaguela Francisco Morazan  Honduras","Homicide",-87.6,15.3166667
"24","09/01/2006","Copan Ruinas  Copan  Honduras","Other Accident",-89.15,14.8333333
"25","09/01/2006","Copan Ruinas  Copan  Honduras","Veh. Accident-Motorcycle",-89.15,14.8333333
"26","07/25/2004","Copan  Honduras","Veh. Accident-Auto",-89.15,14.8333333
"27","05/20/2011","Copan Copan  Honduras","Suicide",-89.15,14.8333333
"28","11/16/2003","Cortes  Honduras","Homicide",-87.2066667,13.7552778
"29","12/31/2003","Cucuyagua  Copan  Honduras","Veh. Accident-Auto",-88.8666667,14.65
"30","09/03/2009","Cuyamel Omoa Cortes  Honduras","Homicide",-88.0333333,15.7666667
"32","07/15/2013","Distrito Central  Francisco Morazan  Honduras","Homicide",-87.6,15.3166667
"34","05/11/2003","El Centro  Texiguat  El Paraiso  Honduras","Homicide",-88.4833333,14.1166667
"35","11/11/2007","El Naranjo  La Ceiba  Atlantida  Honduras","Drowning",-86.5,15
"36","03/22/2012","El Porvenir  Altlatida  Honduras","Homicide",-86.5,15
"37","09/20/2008","El Prgreso  Yoro  Honduras","Drowning",-87.1333333,15.1333333
"38","11/03/2011","El Progreso  Yoro  Honduras","Homicide",-87.8,15.4
"39","03/16/2012","El Progreso  Yoro  Honduras","Homicide",-87.8,15.4
"40","07/11/2008","Esparta  Atlantida  Honduras","Suicide",-86.5,15
"41","07/21/2008","Francisco Moranzan  Honduras","Veh. Accid-Bus",-86.5,15
"42","10/31/2008","Francisco Moranzan  Honduras","Homicide",-86.5,15
"43","01/21/2003","Francisco Morazan  Honduras","Suicide",-87.6,15.3166667
"44","07/26/2005","Francisco Morazan  Honduras","Veh. Accident-Auto",-87.6,15.3166667
"45","04/10/2010","Francisco Morazan  Honduras","Homicide",-87.6,15.3166667
"46","07/31/2004","Gracias  Lempira  Honduras","Air Accident",-86.5,15
"48","06/02/2009","Islas De La Bahia  Honduras","Homicide",-86.5,15
"49","11/13/2013","Juticalpa  Olancho  Honduras","Homicide",-86.5,15
"50","09/04/2009","Juticalpa Olancho  Honduras","Suicide",-86.5,15
"51","12/04/2003","La Ceiba  Atlantida  Honduras","Veh. Accident-Auto",-91.8749,31.1801
"52","11/07/2004","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"53","01/01/2005","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"54","01/04/2005","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"55","08/17/2005","La Ceiba  Atlantida  Honduras","Veh. Accident-Other",-91.8749,31.1801
"56","09/03/2006","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"57","08/08/2008","La Ceiba  Atlantida  Honduras","Suicide",-91.8749,31.1801
"58","11/23/2008","La Ceiba  Atlantida  Honduras","Drowning",-91.8749,31.1801
"59","02/25/2009","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"60","03/16/2009","La Ceiba  Atlantida  Honduras","Drowning",-91.8749,31.1801
"61","03/31/2009","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"62","04/08/2009","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"63","05/21/2009","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"64","07/15/2010","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"65","09/14/2011","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"66","02/21/2012","La Ceiba  Atlantida  Honduras","Homicide",-91.8749,31.1801
"67","12/23/2012","La Ceiba  Atlantida  Honduras","Other Accident",-91.8749,31.1801
"68","03/22/2014","La Ceiba Atlantida","Veh. Accid-Motorcy.",-91.8749,31.1801
"69","05/26/2014","La Ceiba Atlantida","Homicide",-91.8749,31.1801
"70","07/12/2014","La Ceiba Atlantida","Veh. Accid-Auto",-91.8749,31.1801
"71","06/27/2010","La Ceiba Atlantida  Honduras","Homicide",-91.8749,31.1801
"72","04/14/2011","La Ceiba Atlantida  Honduras","Homicide",-91.8749,31.1801
"73","02/10/2006","La Esperanza  Intibuca  Honduras","Homicide",-91.8749,31.1801
"74","12/02/2005","La Lima  Cortes  Honduras","Homicide",-91.8749,31.1801
"75","12/15/2005","La Lima  Cortes  Honduras","Homicide",-91.8749,31.1801
"76","05/08/2006","La Paz  La Paz  Honduras","Homicide",-87.6833333,14.3166667
"77","05/05/2014","La Plazuela  Tegucigalpa","Homicide",-91.8749,31.1801
"78","07/01/2004","Lamani  Comayagua  Honduras","Suicide",-87.6166667,14.2
"79","10/08/2008","Las Canas  Comayagua  Comayagua  Honduras","Veh. Accid-Auto",-87.6333333,14.45
"80","07/01/2010","Las Vegas  Santa Barbara  Honduras","Veh. Accid-Motorcy.",-88.85,14.3166667
"81","05/04/2009","Limon  Colon  Honduras","Homicide",-85.5,15.8666667
"82","08/31/2009","Limon Colon  Honduras","Suicide",-85.5,15.8666667
"83","02/22/2003","Lucinda  Balfate  Colon  Honduras","Other Accident",-86.2833333,15.7166667
"84","02/06/2007","Mal Pais San Esteban  Olancho  Honduras","Veh. Accident-Other",-86.5,15
"85","02/06/2007","Mal Pais San Esteban  Olancho  Honduras","Veh. Accident-Other",-86.5,15
"86","02/06/2007","Mal Pais  San Esteban  Olancho  Honduras","Veh. Accident-Auto",-86.5,15
"87","12/29/2010","Morazan Yoro  Honduras","Homicide",-87.6,15.3166667
"89","12/01/2010","Olanchito Yoro  Honduras","Homicide",-86.5666667,15.5
"90","03/12/2012","Omoa  Cortes  Honduras","Homicide",-88.0333333,15.7666667
"92","09/05/2008","Puerto Cortes  Cortes  Honduras","Suicide",-87.2066667,13.7552778
"93","11/05/2012","Puerto Cortes  Cortes  Honduras","Homicide",-87.2066667,13.7552778
"95","02/01/2004","Rio Chiquito  Omoa  Cortes  Honduras","Veh. Accident-Auto",-88.0333333,15.7666667
"97","04/07/2003","Roatan  Bay Islands  Honduras","Drowning",-86.5,15
"98","09/26/2003","Roatan  Bay Islands  Honduras","Veh. Accident-Auto",-86.5,15
"99","02/27/2013","Roatan  Honduras","Homicide",-86.55,16.3
"100","03/20/2013","Roatan  Honduras","Drowning",-86.55,16.3
"101","03/27/2013","Roatan  Honduras","Drowning",-86.55,16.3
"103","11/17/2002","Roatan  Islas De La Bahia  Honduras","Veh. Accident-Motorcycle",-86.5,15
"104","12/10/2002","Roatan  Islas De La Bahia  Honduras","Drowning",-86.5,15
"105","02/10/2003","Roatan  Islas De La Bahia  Honduras","Homicide",-86.5,15
"106","10/04/2004","Roatan  Islas De La Bahia  Honduras","Homicide",-86.5,15
"107","03/14/2005","Roatan  Islas De La Bahia  Honduras","Suicide",-86.5,15
"108","06/04/2005","Roatan  Islas De La Bahia  Honduras","Homicide",-86.5,15
"109","06/21/2005","Roatan  Islas De La Bahia  Honduras","Drowning",-86.5,15
"110","12/11/2005","Roatan  Islas De La Bahia  Honduras","Homicide",-86.5,15
"111","02/15/2006","Roatan  Islas De La Bahia  Honduras","Other Accident",-86.5,15
"112","07/11/2006","Roatan  Islas De La Bahia  Honduras","Drowning",-86.5,15
"113","11/13/2007","Roatan  Islas De La Bahia  Honduras","Drowning-Bay",-86.5,15
"114","12/23/2007","Roatan  Islas De La Bahia  Honduras","Drug-Related",-86.5,15
"115","07/23/2012","Roatan  Islas De La Bahia  Honduras","Drowning",-86.5,15
"116","12/22/2012","Roatan  Islas De La Bahia  Honduras","Drowning",-86.5,15
"117","10/02/2013","Roatan  Islas De La Bahia  Honduras","Other Accident",-86.5,15
"118","12/22/2013","Roatan  Islas De La Bahia  Honduras","Homicide",-86.5,15
"120","07/04/2009","Roatan Bay Islands  Honduras","Suicide",-86.5,15
"121","07/18/2009","Roatan Bay Islands  Honduras","Homicide",-86.5,15
"122","08/18/2009","Roatan Bay Islands  Honduras","Homicide",-86.5,15
"123","11/22/2009","Roatan Bay Islands  Honduras","Other Accident",-86.5,15
"124","04/06/2010","Roatan Bay Islands  Honduras","Drowning",-86.5,15
"126","12/08/2012","Saba  Colon  Honduras","Vehicle Accident - Auto",-86.25,15.4666667
"127","02/07/2009","San Lorenzo  Valle  Honduras","Drowning",-87.4472222,13.4241667
"129","07/25/2004","San Pedro Sula  Cortes  Honduras","Veh. Accident-Auto",-88.5666667,15.25
"130","04/22/2005","San Pedro Sula  Cortes  Honduras","Homicide",-88.5666667,15.25
"131","07/02/2007","San Pedro Sula  Cortes  Honduras","Homicide",-88.5666667,15.25
"132","06/24/2008","San Pedro Sula  Cortes  Honduras","Veh. Accid-Auto",-88.5666667,15.25
"133","12/14/2008","San Pedro Sula  Cortes  Honduras","Homicide",-88.5666667,15.25
"134","08/03/2011","San Pedro Sula  Cortes  Honduras","Homicide",-88.5666667,15.25
"135","08/10/2013","San Pedro Sula  Cortes  Honduras","Veh. Accid-Pedestr.",-88.5666667,15.25
"136","10/09/2004","San Pedro Sula  Honduras","Homicide",-88.5,14.9
"137","07/24/2005","San Pedro Sula  Honduras","Homicide",-88.5,14.9
"138","04/08/2011","San Pedro Sula  Honduras","Homicide",-88.5,14.9
"139","09/09/2009","San Pedro Sula Cortes  Honduras","Homicide",-88.5666667,15.25
"140","05/05/2010","San Pedro Sula Cortes  Honduras","Homicide",-88.5666667,15.25
"141","10/10/2010","San Pedro Sula Cortes  Honduras","Homicide",-88.5666667,15.25
"142","04/05/2011","San Pedro Sula Cortes  Honduras","Homicide",-88.5666667,15.25
"143","02/14/2011","Santa Ana  Francisco Morazan  Honduras","Air Accident",-87.6,15.3166667
"144","02/14/2011","Santa Ana  Francisco Morazan  Honduras","Air Accident",-87.6,15.3166667
"145","04/27/2009","Santa Barabara honduras","Homicide",-86.5,15
"146","12/11/2002","Santa Cruz De Yojoa  Honduras","Air Accident",-71.2536,-41.089
"147","12/11/2002","Santa Cruz De Yojoa  Honduras","Air Accident",-71.2536,-41.089
"148","12/11/2002","Santa Cruz De Yojoa  Honduras","Air Accident",-71.2536,-41.089
"149","12/11/2002","Santa Cruz De Yojoa  Honduras","Air Accident",-71.2536,-41.089
"150","12/11/2002","Santa Cruz De Yojoa  Honduras","Air Accident",-71.2536,-41.089
"151","05/13/2012","Santa Cruz de Yojoa  Cortes  Honduras","Homicide",-71.2536,-41.089
"152","09/27/2013","Santa Maria del Real  Olancho  Honduras","Suicide",-86.5,15
"153","08/06/2003","Santa Rita  Yoro  Honduras","Veh. Accident-Auto",-87.2833333,15.1666667
"154","07/01/2004","Siguatepeque  Comayagua  Honduras","Veh. Accident-Other",-87.8333333,14.6
"155","12/23/2007","Siguatepeque  Comayagua  Honduras","Homicide",-87.8333333,14.6
"156","12/02/2011","Siguatepeque  Comayagua  Honduras","Veh. Accid-Auto",-87.8333333,14.6
"157","07/21/2004","Tamara  Francisco Morazan  Honduras","Veh. Accident",-87.6,15.3166667
"158","08/30/2003","Tegucigalpa  Distrito Central  Francisco Morazan  Honduras","Veh. Accident-Auto",-87.6,15.3166667
"160","02/13/2003","Tegucigalpa  Francisco Morazan  Honduras","Homicide",-87.6,15.3166667
"161","01/14/2005","Tegucigalpa  Francisco Morazan  Honduras","Veh. Accident-Motorcycle",-87.6,15.3166667
"162","07/29/2005","Tegucigalpa  Francisco Morazan  Honduras","Homicide",-87.6,15.3166667
"163","07/10/2006","Tegucigalpa  Francisco Morazan  Honduras","Veh. Accident-Auto",-87.6,15.3166667
"164","09/10/2010","Tegucigalpa  Francisco Morazan  Honduras","Veh. Accid-Auto",-87.6,15.3166667
"165","08/08/2007","Tegucigalpa  Honduras","Homicide",-87.2166667,14.1
"166","10/30/2007","Tegucigalpa  Honduras","Drug-Related",-87.2166667,14.1
"167","05/30/2008","Tegucigalpa  Honduras","Air Accident",-87.2166667,14.1
"168","05/30/2008","Tegucigalpa  Honduras","Air Accident",-87.2166667,14.1
"169","11/03/2009","Tegucigalpa  Honduras","Homicide",-87.2166667,14.1
"170","11/22/2012","Tegucigalpa  Honduras","Homicide",-87.2166667,14.1
"171","12/16/2012","Tegucigalpa  Honduras","Vehicle Accident - Auto",-87.2166667,14.1
"172","06/15/2010","Tegucigalpa Francisco Morazan  Honduras","Veh. Accid-Auto",-87.6,15.3166667
"173","06/26/2010","Tegucigalpa Francisco Morazan  Honduras","Other Accident",-87.6,15.3166667
"174","09/07/2003","Tela  Atlantida  Honduras","Drowning",-86.5,15
"175","07/21/2005","Tela  Atlantida  Honduras","Veh. Accident",-86.5,15
"176","12/02/2005","Tela  Atlantida  Honduras","Homicide",-86.5,15
"177","11/16/2006","Tela  Atlantida  Honduras","Suicide",-86.5,15
"178","04/16/2009","Tela  Atlantida  Honduras","Homicide",-86.5,15
"179","04/16/2009","Tela  Atlantida  Honduras","Homicide",-86.5,15
"181","09/06/2009","Tela Atlantida  Honduras","Homicide",-86.5,15
"182","04/05/2007","Trojes  El Paraiso  Honduras","Drowning",-88.4833333,14.1166667
"183","11/28/2009","Trojes El Paraiso  Honduras","Veh. Accid-Other",-88.4833333,14.1166667
"184","05/11/2009","Trujillo  Colon  Honduras","Homicide",-86,15.9166667
"185","01/02/2005","Utila  Islas De La Bahia  Honduras","Maritime Accident",-86.5,15
"186","11/16/2012","Utila  Islas de la Bahia  Honduras","Homicide",-86.5,15
"187","07/10/2011","Veracruz  Copan  Honduras","Veh. Accid-Bus",-88.7833333,14.9166667
"188","07/10/2011","Veracruz  Copan  Honduras","Veh. Accid-Bus",-88.7833333,14.9166667
"189","04/24/2006","Villanueva  Cortes  Honduras","Homicide",-88,15.3166667
"190","05/11/2010","Villanueva Cortes  Honduras","Homicide",-88,15.3166667
"191","12/15/2008","Villnueva  Cortes  Honduras","Homicide",-87.2066667,13.7552778
